z,eta_x_qs,eta_x_dyn
2.7726332234587168,-1.3777979168333937e-07,-1.3575447501726482e-07
2.7475450637650534,-1.4000609839790826e-07,-1.384428036527923e-07
2.7226236576967238,-1.4202725779552298e-07,-1.409362598344247e-07
2.697868359737946,-1.4384245956127913e-07,-1.432320412546301e-07
2.6732774978960263,-1.4545324782474605e-07,-1.4532867846058392e-07
2.648849981063234,-1.468618990538037e-07,-1.472260656826581e-07
2.6245851000670823,-1.480715354689437e-07,-1.4892535719632044e-07
2.600481679020772,-1.4908681000308782e-07,-1.504287570669341e-07
2.576538364493246,-1.4991348569295004e-07,-1.517397059273422e-07
2.55275409410269,-1.5055790847148686e-07,-1.5286249052161076e-07
2.529128443042915,-1.510266986368469e-07,-1.5380232061710798e-07
2.5056597333398924,-1.513280491215743e-07,-1.5456512625785045e-07
2.482346914554581,-1.5147013513116933e-07,-1.5515747607936566e-07
2.4591892037559067,-1.514613641732022e-07,-1.5558653431168216e-07
2.4361856916228093,-1.5131053564222504e-07,-1.5585986124588953e-07
2.413334979701783,-1.5102685263484636e-07,-1.559853920441855e-07
2.3906360540929223,-1.5061936798340794e-07,-1.5597127544524886e-07
2.3680884060307927,-1.5009698477647618e-07,-1.5582584897229788e-07
2.3456906414497576,-1.4946884473600028e-07,-1.555574975519576e-07
2.3234416538550806,-1.487438003422004e-07,-1.551746526280605e-07
2.3013405947729426,-1.4793044886656697e-07,-1.546856218855778e-07
2.279386799553354,-1.47037161826793e-07,-1.540986626852435e-07
2.2575788316552057,-1.460720829242105e-07,-1.534218485457871e-07
2.235915723448025,-1.450429654575413e-07,-1.526630511493039e-07
2.2143968907615927,-1.4395726603185345e-07,-1.5182986890588467e-07
2.193021201007145,-1.428220647173944e-07,-1.509296688874303e-07
2.171787498944898,-1.4164403151500561e-07,-1.4996950691245202e-07
2.150694878177553,-1.4042948683633353e-07,-1.489561178003797e-07
2.1297428982753788,-1.391845175941013e-07,-1.4789593916046513e-07
