z,H_over_Hrecon_minus_one,drain_source,d_transfer
0.1113507483492,-1.1102230246251565e-16,6.747645619685316e-05,0.06903533092521
0.1122467746405,0.0,6.782761051803443e-05,0.06903516743042
0.1131435233528,0.0,6.818053307675268e-05,0.06903500348176
0.1140409950685,2.220446049250313e-16,6.853523291699878e-05,0.06903483907811
0.1149391903706,-1.1102230246251565e-16,6.889171913891605e-05,0.06903467421834
0.1158381098424,2.220446049250313e-16,6.925000088730695e-05,0.06903450890134
0.1167377540679,0.0,6.961008736685155e-05,0.06903434312597
0.1176381236313,0.0,6.997198783136826e-05,0.0690341768911
0.1185392191175,-1.1102230246251565e-16,7.033571159297623e-05,0.0690340101956
0.1194410411117,2.220446049250313e-16,7.070126801187826e-05,0.06903384303833
0.1203435901998,0.0,7.106866650788713e-05,0.06903367541815
0.1212468669678,0.0,7.14379165536345e-05,0.06903350733391
0.1221508720024,0.0,7.180902767559486e-05,0.06903333878446
0.123055605891,-1.1102230246251565e-16,7.218200945842891e-05,0.06903316976865
0.123961069221,0.0,7.255687154136276e-05,0.06903300028532
0.1248672625807,0.0,7.293362362163419e-05,0.06903283033331
0.1257741865585,2.220446049250313e-16,7.33122754500556e-05,0.06903265991146
0.1266818417436,0.0,7.369283683688445e-05,0.0690324890186
0.1275902287255,0.0,7.407531765064999e-05,0.06903231765357
0.1284993480942,2.220446049250313e-16,7.445972781853321e-05,0.06903214581517
0.1294092004402,0.0,7.484607732240806e-05,0.06903197350224
0.1303197863544,0.0,7.523437620592885e-05,0.06903180071359
0.1312311064283,0.0,7.562463457144512e-05,0.06903162744804
0.1321431612538,-1.1102230246251565e-16,7.601686258129674e-05,0.0690314537044
0.1330559514233,-1.1102230246251565e-16,7.641107045563053e-05,0.06903127948146
0.1339694775297,0.0,7.68072684841877e-05,0.06903110477804
0.1348837401663,2.220446049250313e-16,7.72054670070172e-05,0.06903092959293
0.135798739927,-1.1102230246251565e-16,7.760567642792955e-05,0.06903075392492
0.136714477406,0.0,7.800790721738581e-05,0.0690305777728
0.1376309531981,0.0,7.841216990377239e-05,0.06903040113537
0.1385481678986,2.220446049250313e-16,7.881847508531458e-05,0.06903022401139
0.1394661221033,0.0,7.922683341294e-05,0.06903004639966
